iter	RMSE
0	14.26891808
1	13.34421875
2	12.4922732
3	11.76641866
4	11.02669905
5	10.48089579
6	10.05783876
7	9.609865741
8	9.162993355
9	8.763175037
10	8.399592775
11	8.091626317
12	7.791437595
13	7.494724267
14	7.265780767
15	7.051926038
16	6.838301336
17	6.669426677
18	6.490526807
19	6.345402178
20	6.213660636
21	6.097598069
22	5.994057192
23	5.90494573
24	5.833526591
25	5.754301315
26	5.672946047
27	5.60891193
28	5.554394979
29	5.499588994
30	5.459991871
31	5.418267511
32	5.379162208
33	5.345263882
34	5.321952477
35	5.302903753
36	5.279318485
37	5.251621134
38	5.22928851
39	5.207150846
40	5.187887733
41	5.171273975
42	5.150502311
43	5.133844785
44	5.116654366
45	5.101226978
46	5.086233641
47	5.062221742
48	5.047247284
49	5.032322236
50	5.017207419
51	5.005088679
52	4.995705263
53	4.983233395
54	4.970086551
55	4.958977444
56	4.945937024
57	4.936701244
58	4.928697685
59	4.907271248
60	4.894448924
61	4.880746317
62	4.869647562
63	4.860570683
64	4.851300757
65	4.843670714
66	4.835520078
67	4.821416482
68	4.809293749
69	4.800944117
70	4.792521609
71	4.777159106
72	4.762535038
73	4.754152597
74	4.740227198
75	4.726082653
76	4.715973828
77	4.706053319
78	4.700388932
79	4.697999475
80	4.690555646
81	4.682122741
82	4.675456331
83	4.662911298
84	4.654119654
85	4.642330496
86	4.623845775
87	4.61341042
88	4.603889433
89	4.594592452
90	4.584181939
91	4.577120294
92	4.55701671
93	4.544848038
94	4.542056871
95	4.530481997
96	4.522511357
97	4.515847969
98	4.512601119
99	4.504336659
